delivery_channel,usd_bn,total_by_channel,pct_of_channel
Bilateral loan without co-financing,215.63004377836972,800.5974216761892,26.933642045325467
Involves multilateral co-financing,8.019233494538394,20.197443547381777,39.70420056244166
Syndicated loan,32.376381626072735,262.496557229017,12.334021431689
