recipient_region,delivery_channel,usd_bn,total_by_region,pct_of_region
Africa,Bilateral loan without co-financing,215.63004377836972,256.02565889898085,84.22204426918401
Africa,Involves multilateral co-financing,8.019233494538394,256.02565889898085,3.132199143251699
Africa,Syndicated Loan,32.376381626072735,256.02565889898085,12.645756587564282
Asia,Bilateral loan without co-financing,232.2509204597227,345.22835859521655,67.27457773306482
Asia,Involves multilateral co-financing,7.851443380744114,345.22835859521655,2.274275326827946
Asia,Syndicated Loan,105.12599475474974,345.22835859521655,30.451146940107243
