Profit Orientation,Geography,Count (Overall),Count (Green),Avg Degree (Overall),Avg Degree (Green),Avg Constraint (Overall),Avg Constraint (Green)
Mixed Mandate,Chinese,26,7,55.30769230769232,16.857142857142858,0.2166479918459524,0.19603275899686287
Mixed Mandate,Non-Chinese,8,NA,20,NA,0.19051243149428837,NA
Policy Driven,Chinese,29,8,18.48275862068966,9.125,0.5846356036723425,0.4236092053286014
Policy Driven,Non-Chinese,232,66,29.969827586206858,9.696969696969695,0.22780545137200017,0.391511418502166
Profit Maximizing,Chinese,10,2,9.900000000000002,5.5,0.4746042909910134,0.37964186670200395
Profit Maximizing,Non-Chinese,430,57,46.10232558139545,12.666666666666664,0.15058477365064757,0.29470010916671435
